SKU,Nombre actual,Categoria,Precio regular,Precio activo,Descripcion comercial (Oferta irresistible),Beneficio principal,Caracteristicas / ficha tecnica,Tipo de producto,Estado,Stock,Notas,,,,,
dp-venosonac,DILDO VENOSO,DILDOS,650,650,"DILDO VENOSONAC. La elección perfecta para elevar la temperatura y descubrir nuevas facetas de tu sensualidad. Discreto, potente y absolutamente irresistible.",Sensación realista y potente,"Dildo grande venoso nacional con relieve tipo venas para mayor realismo. Suave, con agradable aroma, trae chupón para adherirse y es compatible con arnés. No tóxico. Medidas: 29 cm x 4 cm. Color sujeto a disponibilidad. Presentación en bolsa.",DILDOS,Activo,0,,,,,,
dp-lancer26,DILDO CON BASE 26,DILDOS,650,650,DILDO LANCER26. Convierte cada encuentro en una experiencia sublime. Su tacto aterciopelado y acabados premium garantizan una estimulación precisa y profunda.,Control firme y realista,"Dildo con base (ventosa). Material PVC o TPE. Dimensiones: 26 cm de largo x 4,2 cm de diámetro. Incluye recomendación de desinfección y lubricante a base de agua. Color sujeto a disponibilidad.",DILDOS,Activo,0,,,,,,
dp-dobleplacer,DOBLE PLACER,DILDOS,450,450,DILDO DOBLEPLACER. Una pieza sofisticada que combina elegancia y potencia. Su diseño ergonómico está pensado para adaptarse perfectamente a tu cuerpo y explorar nuevos límites del placer.,Doble estimulación con manos libres,Dildo realista con diseño de doble penetración. Base de succión. Color sujeto a existencia. Tamaño: 18mm * 35 mm.,DILDOS,Activo,0,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ja-gema,PLUG METÁLICO CON GEMA CHICO,JUGUETES ANALES,250,250,"Estimulación anal elegante y progresiva con diseño metálico liso, cuentas de cristal para sensaciones precisas, ideal para entrenar y disfrutar con control total desde el primer uso.",Entrenamiento anal progresivo y preciso,Material: metal grado quirúrgico. Medidas: 7.0 cm x 2.3 cm. Color de gema transparente.,JUGUETES ANALES,Activo,4,,,,,,
ja-kitty,PLUG ANAL KITTY MEDIANO,JUGUETES ANALES,400,400,"Estimulación anal elegante y segura con diseño tipo joya en metal sólido, tamaño compacto para inserción cómoda y controlada, ideal para principiantes o juegos discretos en solitario o pareja.",Estimulación anal elegante y segura,"Material: metal grado quirúrgico. Altura total 98 mm (3.85”), diámetro máximo 41 mm (1.61”), diámetro de la base 33 mm (1.29”), tamaño de la gema 31 mm (1.22”), peso 145.6 g (5.13 oz).",JUGUETES ANALES,Activo,0,,,,,,
ja-corazonch,PLUG ANAL DE CORAZON CHICO,JUGUETES ANALES,300,300,"Estimulación anal elegante con diseño en forma de corazón, acero inoxidable pulido para sensaciones firmes y precisas, ideal para juegos discretos y placer controlado.",Estimulación firme y sofisticada,"Altura 6.8 cm, diámetro de la base 2.7 cm, peso 62 g (tamaño chico).",JUGUETES ANALES,Activo,1,,,,,,
ja-conejo,PLUG METÁLICO CON COLA TIPO CONEJO,JUGUETES ANALES,300,300,"Estimulación anal elegante con plug de acero inoxidable y cola de conejo suave, diseño firme y seguro con base acampanada, ideal para juegos discretos y controlados con un toque provocador.",Estimulación firme con toque sensual,"Diámetro de la cola 8 cm, longitud visible del plug 7 cm, diámetro máximo del plug 2.8 cm.",JUGUETES ANALES,Activo,0,,,,,,
ja-textura,BOLAS ANALES CON TEXTURA,JUGUETES ANALES,300,250,"Estimulación anal suave y progresiva con cuentas flexibles y diseño ergonómico, ideal para masaje del punto G y juegos unisex con control cómodo y placentero.",Estimulación progresiva y controlada,Bolas anales de silicón. Medidas: 153 * 18 * 26 mm.,JUGUETES ANALES,Activo,1,,,,,,
ja-analrecargable,ANAL RECARGABLE,JUGUETES ANALES,550,550,"Un estimulador de próstata anal, un hermoso tapón anal con vibración y control remoto, un juguete íntimo diseñado para hombres y mujeres.",Masajeador prostático y estimulación por control remoto,"Masajear eficazmente la glándula prostática y brindar un placer increíble. 10 vibration modes. Ancho máximo 3.2 cm, altura total 10 cm, ancho de la base 6.2 cm.",JUGUETES ANALES,Activo,0,,,,,,
ja-zorro,PLUG ANAL CON COLITA,JUGUETES ANALES,350,350,"Estimulación anal firme y elegante con plug de acero inoxidable y cola de zorro sintética, diseño seguro y provocador para juegos intensos con control total y presencia visual impactante.",Estimulación firme con efecto visual provocador,"Plug metálico mediano. Colores según existencias. Medidas: largo total 47 cm, longitud del plug 6.8 cm, diámetro máximo del plug 2.5 cm",JUGUETES ANALES,Activo,1,,,,,,
ja-silicon,PLUG ANAL SILICON,JUGUETES ANALES,280,280,"Estimulación anal suave y discreta con diseño compacto de silicona, gema decorativa para un toque visual elegante, ideal para iniciarte o disfrutar sesiones cómodas y controladas.",Inicio anal cómodo y discreto,Plug de silicón liso con base de piedra de fantasía en colores. 2.8 cm por 7.3 cm. PD: Presentación en bolsa.,JUGUETES ANALES,Activo,0,,,,,,
ja-rosario,ROSARIO ANAL,JUGUETES ANALES,250,250,"Estimulación anal progresiva con bolitas flexibles de silicona, diseño gradual y cómodo con lazo de extracción para control total, ideal para principiantes o sesiones seguras y placenteras.",Entrenamiento anal progresivo y cómodo,ANILLO PARA RETIRAR FÁCILMENTE. MEDIDA: 26 a 28 cm LARGO.,JUGUETES ANALES,Activo,1,,,,,,
ja-miniplug,MINI PLUG ANAL ROSA,JUGUETES ANALES,220,220,"Estimulación anal cómoda y progresiva con diseño flexible y cónico, ventosa firme para control total, ideal para iniciarte y disfrutar sesiones seguras y placenteras.",Inicio anal cómodo y controlado,Libre de ftalatos. Color: Rosa. Medidas: 10 cm largo. 1.5 cm ancho inicial. 2.5 cm.,JUGUETES ANALES,Activo,1,,,,,,
ja-prostata,PLUG PROSTATA CON VIBRACION,JUGUETES ANALES,350,350,"Vibrador de próstata con diseño curvo y cuentas anales que estimulan de forma precisa, vibración potente y silenciosa para placer profundo y controlado, ideal para juegos intensos en solitario.",Estimulación prostática profunda,"Altura total 10.2 cm, longitud insertable curva 12 cm, diámetro máximo del cuerpo 3.3 cm, diámetros de cuentas 2 cm y 1.8 cm, peso 65.8 g.",JUGUETES ANALES,Activo,2,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
vv-fundadedal,FUNDA DEDAL CON BALA VIBRADORA,VIBRADORES,400,400,"VIBRADOR FUNDADEDAL. La elección perfecta para elevar la temperatura y descubrir nuevas facetas de tu sensualidad. Discreto, potente y absolutamente irresistible.",Estimulación directa y control total del placer,Material: Elastómero flexible. Funda dedal con bala vibradora de pila (incluida). Producto reutilizable y texturizado para mayor estimulación.,VIBRADORES,Activo,1,,,,,,
vv-amanraya,VIBRADOR AMANRAYA,VIBRADORES,650,650,VIBRADOR AMANRAYA. Una pieza sofisticada que combina elegancia y potencia. Su diseño ergonómico está pensado para adaptarse perfectamente a tu cuerpo y explorar nuevos límites del placer.,Orgasmos más intensos con control total a distancia,Material: ABS + Silicona. 10 Frecuencias. Batería recargable USB. Resistente al agua. Tamaño del producto: 93 * 116 mm. Control inalámbrico.,VIBRADORES,Activo,1,,,,,,
vv-dolphin,VIBRADOR DOLPHIN,VIBRADORES,380,380,"VIBRADOR DOLPHIN. Diseñado para intensificar cada caricia con una textura suave y natural. Ideal para quienes buscan mayor comodidad, fluidez y sensaciones más placenteras.",Estimulación profunda con vibraciones potentes y envolventes,Material: Silicon + ABS. 10 frecuencias. Resistente al agua IPX7. Batería recargable. Medidas: 17 x 3.5 cm.,VIBRADORES,Activo,0,,,,,,
vv-aquarius,VIBRADOR AQUARIUS,VIBRADORES,380,380,VIBRADOR AQUARIUS. Una pieza sofisticada que combina elegancia y potencia. Su diseño ergonómico está pensado para adaptarse perfectamente a tu cuerpo y explorar nuevos límites del placer.,Vibraciones envolventes que elevan cada experiencia,Material: Silicon + ABS. 10 frecuencias. Resistente al agua IPX7. Batería recargable. Medidas: 16.5 x 3.5 cm.,VIBRADORES,Activo,1,,,,,,
vv-huevo01,VIBRADOR TIPO HUEVO,VIBRADORES,220,220,"VIBRADOR HUEVO01. Diseñado para intensificar cada caricia con una textura suave y natural. Ideal para quienes buscan mayor comodidad, fluidez y sensaciones más placenteras.",Estimulación directa con vibraciones intensas,Material: Grado quirúrgico. Alambrico aprox 1.5 m. Utiliza 2 pilas AA (no incluidas). Se recomienda el uso de lubricante.,VIBRADORES,Activo,2,,,,,,
vv-negro,VIBRADOR ANAL/VAGINAL,VIBRADORES,350,350,VIBRADOR NEGRO. Convierte cada encuentro en una experiencia sublime. Su tacto aterciopelado y acabados premium garantizan una estimulación precisa y profunda.,Estimulación simultánea que maximiza el placer,Presentación: Bolsa. Triple estimulador. Una sola velocidad. Requerimientos: Usa pilas. Color sujeto a existencia.,VIBRADORES,Activo,1,,,,,,
vv-vertebrado,VIBRADOR VERTEBRADO,VIBRADORES,350,350,"Vibrador vertebrado de bolitas diseñado para estimulación intensa y altamente flexible, su estructura doblable permite adaptar cada curva para provocar sensaciones profundas y precisas.",Flexibilidad total para una estimulación más profunda,Material: Jelly. Vibrador de diferentes modos de frecuencia. Requerimientos: Usa 2 pilas. Color sujeto a inventario.,VIBRADORES,Activo,1,,,,,,
vv-dual1,VIBRADOR DUAL PILA,VIBRADORES,500,500,VIBRADOR DUAL1. Convierte cada encuentro en una experiencia sublime. Su tacto aterciopelado y acabados premium garantizan una estimulación precisa y profunda.,Doble estimulación que intensifica y acelera el placer,Material: silicón. 10 modos de vibración. Requerimientos: 2 pilas AAA (NO INCLUIDAS). Se recomienda uso de lubricante. Color de acuerdo a existencia.,VIBRADORES,Activo,1,,,,,,
vv-delfin,VIBRADOR DELFIN,VIBRADORES,300,300,"VIBRADOR DELFIN. La elección perfecta para elevar la temperatura y descubrir nuevas facetas de tu sensualidad. Discreto, potente y absolutamente irresistible.",Estimulación directa y poderosa en un diseño compacto,Material: ABS de alta calidad. Buena potencia de vibración. Medidas: 125 x 55 mm. Fuente: una pila AA (resistencia 3 horas). Color de acuerdo a existencia.,VIBRADORES,Activo,6,,,,,,
vv-sirena,VIBRADOR COLA DE SIRENA,VIBRADORES,650,650,"Bala vibradora con diseño tipo cola de sirena creada para estimular zonas altamente sensibles, vibraciones intensas que despiertan sensaciones profundas y placer inmediato, discreta y suave.",Estimulación precisa que intensifica el placer rápidamente,Material: Silicona. Tipo: Punto G. 10 modos de vibración. Recargable. Medidas: Largo 16 cm x Diámetro 3 cm. Color sujeto a inventario.,VIBRADORES,Activo,0,,,,,,
vv-funda,VIBRADOR CON 4 FUNDAS,VIBRADORES,250,250,VIBRADOR FUNDA. Convierte cada encuentro en una experiencia sublime. Su tacto aterciopelado y acabados premium garantizan una estimulación precisa y profunda.,Sensaciones variables en un solo dispositivo práctico,Presentación: Bolsa. Incluye vibrador con 4 fundas compatibles con cualquier modelo. 1 sola velocidad. Requerimientos: Usa pilas (no incluidas). Color sujeto a existencia.,VIBRADORES,Activo,2,,,,,,
vv-pinzas,VIBRADOR PINZAS,VIBRADORES,400,400,"VIBRADOR PINZAS. La elección perfecta para elevar la temperatura y descubrir nuevas facetas de tu sensualidad. Discreto, potente y absolutamente irresistible.",Vibraciones intensas que maximizan la estimulación,Material: Materiales seguros. Diseño ergonómico en forma de pinza con textura interna. Fácil de limpiar y transportar.,VIBRADORES,Activo,2,,,,,,
vv-brocha,VIBRADOR TIPO BROCHA,VIBRADORES,200,200,"VIBRADOR BROCHA. La elección perfecta para elevar la temperatura y descubrir nuevas facetas de tu sensualidad. Discreto, potente y absolutamente irresistible.",Estimulación precisa y seductora en cada contacto,Material: Cerdas suaves y mango rígido. 1 Vibración. Diseño discreto. Requerimientos: Usa pila AAA.,VIBRADORES,Activo,1,,,,,,
vv-martillo,VIBRADOR MARTILLO,VIBRADORES,650,650,VIBRADOR MARTILLO. Una pieza sofisticada que combina elegancia y potencia. Su diseño ergonómico está pensado para adaptarse perfectamente a tu cuerpo y explorar nuevos límites del placer.,Doble estimulación que maximiza el placer y la intensidad,Material: Silicona. 3 modos de vibración. Recargable. Color sujeto a existencia.,VIBRADORES,Activo,0,,,,,,
vv-lala,VIBRADOR LALA,VIBRADORES,400,400,VIBRADOR LALA. Una pieza sofisticada que combina elegancia y potencia. Su diseño ergonómico está pensado para adaptarse perfectamente a tu cuerpo y explorar nuevos límites del placer.,Estimulación potente y precisa en un diseño compacto,Material: Silicona + ABS. 10 frecuencias. Batería recargable USB. Resistente al agua. Tamaño: 11 * 3.7 cm.,VIBRADORES,Activo,1,,,,,,
vv-chuck,VIBRADOR CHUCK,VIBRADORES,550,550,VIBRADOR CHUCK. Convierte cada encuentro en una experiencia sublime. Su tacto aterciopelado y acabados premium garantizan una estimulación precisa y profunda.,Estimulación intensa con sensaciones realistas,Material: Suave. Vibrador con velocidad ajustable (12 frecuencias). Resistente al agua y soporte de succión. Medida: 9.8 pulgadas. Color sujeto a existencias.,VIBRADORES,Activo,1,,,,,,
vv-fundaliso,VIBRADOR FUNDA LISO,VIBRADORES,380,380,VIBRADOR FUNDALISO. Convierte cada encuentro en una experiencia sublime. Su tacto aterciopelado y acabados premium garantizan una estimulación precisa y profunda.,Control preciso de la intensidad para un placer a tu ritmo,Material: Gel texturizado. Velocidad gradual y resistente al agua. Medidas: 17.7 cm x 3.2 cm. Alimentación: 2 pilas AAA.,VIBRADORES,Activo,0,,,,,,
vv-lure85,VIBRADOR LURE 8.5 PULGADAS,VIBRADORES,450,450,"VIBRADOR LURE85. La elección perfecta para elevar la temperatura y descubrir nuevas facetas de tu sensualidad. Discreto, potente y absolutamente irresistible.",Estimulación profunda con sensaciones realistas,Velocidad gradual en la base. Tamaño del producto: 20.7 x 3.5 cm. Alimentación: 2 baterías AA.,VIBRADORES,Activo,0,,,,,,
vv-balausb,BALA VIBRADORA RECARGABLE,VIBRADORES,550,550,"VIBRADOR BALAUSB. Diseñado para intensificar cada caricia con una textura suave y natural. Ideal para quienes buscan mayor comodidad, fluidez y sensaciones más placenteras.",Estimulación profunda con control total de la intensidad,"Material: Silicona médica segura y respetuosa con el medio ambiente. Suave, inodora y fácil de limpiar. Carga USB compatible con banco de energía, computadora o enchufe.",VIBRADORES,Activo,1,,,,,,
vv-balac,BALA VIBRADORA EN FORMA DE CONEJO,VIBRADORES,250,250,VIBRADOR BALAC. Convierte cada encuentro en una experiencia sublime. Su tacto aterciopelado y acabados premium garantizan una estimulación precisa y profunda.,Estimulación directa e intensa,Material: Tipo gel grado quirúrgico. Ideal para estimular zonas erógenas. Requerimientos: Utiliza 2 pilas AA (no incluidas). Se recomienda el uso de lubricante. Color sujeto a disponibilidad.,VIBRADORES,Activo,1,,,,,,
vv-app,VIBRADOR CON APLICACIÓN PARA IOS,VIBRADORES,850,850,"VIBRADOR APP. Diseñado para intensificar cada caricia con una textura suave y natural. Ideal para quienes buscan mayor comodidad, fluidez y sensaciones más placenteras.",Estimulación personalizada desde tu smartphone,Material: Silicona médica + ABS. Función: 10 modos. APP control bluetooth únicamente para IOS. Dimensión: 90 x 35 mm. Color de acuerdo a inventario.,VIBRADORES,Activo,1,,,,,,
vv-conejo,POCKET PARTY,VIBRADORES,350,350,"VIBRADOR CONEJO. La elección perfecta para elevar la temperatura y descubrir nuevas facetas de tu sensualidad. Discreto, potente y absolutamente irresistible.",Estimulación directa y potente con control total en tu mano,Material: ABS. Libre de ftalatos y resistente al agua. Medidas: Masajeador 9.5 x 2.5 cm / Manga 9 x 3.25 cm. Requerimientos: Utiliza 1 pila AA (no incluida).,VIBRADORES,Activo,2,,,,,,
vv-dual2,VIBRADOR DUAL,VIBRADORES,950,950,VIBRADOR DUAL2. Convierte cada encuentro en una experiencia sublime. Su tacto aterciopelado y acabados premium garantizan una estimulación precisa y profunda.,Placer manos libres con vibración potente,Material: Silicona. 10 modos de vibración. Carga magnética (duración aprox. 60 min). Estimulación anal y vaginal. Se recomienda el uso de lubricante.,VIBRADORES,Activo,1,,,,,,
vv-pinzaspezon,PINZAS PARA PEZONES CON VIBRACIÓN,VIBRADORES,320,320,"VIBRADOR PINZASPEZON. Diseñado para intensificar cada caricia con una textura suave y natural. Ideal para quienes buscan mayor comodidad, fluidez y sensaciones más placenteras.",Estimulación vibratoria directa que potencia el placer,"Material: ABS. Pinzas para pezones con vibración y clips elásticos. Control rotatorio y botón de encendido/apagado. Medidas: Bala 2.5 cm, Clip 5.5 cm, Control 9 x 3 cm.",VIBRADORES,Activo,0,,,,,,
vv-conejorealista,VIBRADOR CONEJO REALISTA INALAMBRICO,VIBRADORES,650,650,"Potencia tus sensaciones con una experiencia inmersiva, realista y totalmente controlable. Diseño seductor, funciones avanzadas y estimulación multidimensional para llevar el placer a un nivel superior.","Estimulación intensa, variada y completamente personalizable",Silicona de alta calidad · 22 cm total / 17 cm penetración · Ø 4 cm · Ventosa de succión · Control remoto (AAA) · 12 modos vibración / vai-e-vem / rotación · Función calentamiento · Recargable USB,VIBRADORES,Activo,1,,,,,,
vv-welove,HUEVO VIBRADOR INALÁMBRICO CON APP,VIBRADORES,450,450,"VIBRADOR con App LILO ""WE LOVE"". Experimenta nuevas sensaciones íntimas sola o con tu pareja, usando tu celular. ",Estimulación vibratoria desde tu teléfono celular ,Desenrosca la cubierta e inserta las pilas. Enciende el Bluetooth y la red inalámbrica. Escanea el Código QR y descarga la App: versiones para Android y Apple. Material: gel de sílice + ABS,VIBRADORES,Activo,1,,,,,,
vv-puntog,VIBRADOR PUNTO G ,VIBRADORES,500,500,"VIBRADOR RABBIT PUNTO G, estimulador de clítoris, masajeador de consolador vaginal y anal. Juguete sexual para uso individual o en pareja. ",Vibración y estimulación para tu Punto G ,No es recargable: usa 2 pilas AAA. Cuenta con 10 modos de vibración. Repelente al agua. Medidas en las imágenes del producto. Material: gel de sílice + ABS,VIBRADORES,Activo,1,,,,,,
vv-color,VIBRADOR CONSOLADOR PENE VENOSO,VIBRADORES,500,500,"VIBRADOR SILICONA SUAVE Y REALISTA, CURVO: listo para estimular poderosamente el Punto G y esfinter de manera efectiva. Varias velocidades de vibración. ",Vibraciones estimulantes para tu Punto G y esfinter ,18 cm de largo · 4 cm de diámetro · Alimentación por pila · Silicona médica TPE · 2 intensidades · 2 modos de vibración,VIBRADORES,Activo,1,,,,,,
vv-realcontrol,VIBRADOR REALISTA CON BASE Y CONTROL ,VIBRADORES,450,450,VIBRADOR REALISTA CON BASE Y CONTROL. Descubre el placer con este dildo vibrador diseñado para quien busca una experiencia satisfactoria y realista. ,Vibraciones y estimulos directos a tu zona íntima ,17 cm de largo · 3.6 cm de diámetro · Alimentación por batería · Autonomía 3 h · 7 modos de vibración · Control remoto,VIBRADORES,Activo,1,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
lc-siyi25,LUBRICANTE NATURAL SIYI BOLSILLO ,LUBRICANTES Y CREMAS,100,100,"Deslizamiento perfecto desde el primer contacto. Textura suave, sensación natural y comodidad total para encuentros más intensos, sin fricción ni interrupciones.",Máximo confort y fluidez en cada movimiento,Lubricante íntimo natural soluble al agua. Inodoro y de textura suave. Contenido: 25ml.,LUBRICANTES Y CREMAS,Activo,23,,,,,,
lc-siyi50,LUBRICANTE NATURAL SIYI ,LUBRICANTES Y CREMAS,150,150,"Fluidez inmediata, sensación sedosa y control total en cada caricia. SIYI eleva la experiencia con una textura suave, cálida y natural que elimina la fricción y maximiza el disfrute.",Deslizamiento ultra-suave,Lubricante íntimo natural soluble al agua. Inodoro y de textura suave. Contenido: 50ml.,LUBRICANTES Y CREMAS,Activo,2,,,,,,
lc-touchan,TOUCH ANALGESICO,LUBRICANTES Y CREMAS,250,250,"Silk Touch transforma la experiencia con un tacto sedoso, deslizamiento prolongado y confort superior.",Mayor comodidad y elasticidad,"Proporciona alivio analgésico reduciendo el dolor por frotamiento y suaviza la piel. Lubricante anal y vaginal compatible con preservativos y juguetes sexuales. Presentación de 100ml, no mancha.",LUBRICANTES Y CREMAS,Activo,2,,,,,,
lc-anasp,LUBRICANTE ANALGESICO DE SABOR PLATANO,LUBRICANTES Y CREMAS,200,200,"Calidez, suavidad y deslizamiento perfecto en cada contacto. El toque HOT con delicioso sabor banana convierte cada momento en una experiencia más intensa, cómoda y sin interrupciones.",Mayor confort y relajación para disfrutar sin molestias,"Efectos: Alivia el dolor, mejora elasticidad y mejora lubricación. Contenido: 30 ml. Zonas de aplicación: Ano, Pene, Vagina. Base agua.",LUBRICANTES Y CREMAS,Activo,1,,,,,,
lc-analfresa,LUBRICANTE ANALGESICO DE FRESAS,LUBRICANTES Y CREMAS,200,200,"Silk Touch Fresas & Crema despierta los sentidos con una textura sedosa, efecto cálido y un sabor irresistible. Diseñado para maximizar el placer, suavizar cada contacto.",Sensaciones intensificadas con máximo confort,"Sabor Fresas con crema de la marca Silk Touch. Efectos: Alivia el dolor, mejora la elasticidad y la lubricación. Volumen de la unidad: 50 ml. Zonas de aplicación: Ano, Pene, Vagina. Base agua.",LUBRICANTES Y CREMAS,Activo,1,,,,,,
lc-analub,ANALUB,LUBRICANTES Y CREMAS,250,250,"Control, suavidad y seguridad en cada aplicación. Analub ofrece deslizamiento preciso y confort inmediato gracias a su dosificador, ideal para una experiencia más cómoda y sin fricción.",Aplicación exacta con máxima comodidad,Lubricante anal en gel. Desensibilizador de fácil uso para más placer en pareja. Contenido: 15.44 ml / 15 grs.,LUBRICANTES Y CREMAS,Activo,4,,,,,,
lc-estrechador,ESTRECHADOR VAGINAL TOUT TEMPS,LUBRICANTES Y CREMAS,220,220,"Sensación de ajuste, suavidad y deslizamiento sedoso en cada movimiento. Tout Temps potencia la experiencia íntima, intensificando cada estímulo y elevando el placer.",Mayor sensación de firmeza y estimulación.,Tipo gel que ayuda a contraer las paredes vaginales. Funciona como lubricante de base agua. Contenido: 30 ml.,LUBRICANTES Y CREMAS,Activo,0,,,,,,
lc-sensitive,EROTIC SENSITIVE 15 ML,LUBRICANTES Y CREMAS,150,150,"Sensitive Gel despierta la sensibilidad, intensifica cada caricia y amplifica el placer. Fórmula sedosa de efecto estimulante diseñada para elevar la experiencia y potenciar sensaciones desde el primer contacto.",Estimulación inmediata con sensaciones más intensas,Gel estimulante femenino diseñado para ayudar a conseguir orgasmos múltiples y más intensos. Contenido: 15.64 ml.,LUBRICANTES Y CREMAS,Activo,0,,,,,,
lc-pleasure,ID PLEASURE TUBO,LUBRICANTES Y CREMAS,150,150,"ID Pleasure intensifica cada sensación con un estimulante efecto hormigueo. Textura ligera, respuesta inmediata y una experiencia diseñada para elevar el disfrute masculino al máximo.",Estimulación sensorial que amplifica el placer,Estimulante emocionante a base de agua con sensación de hormigueo. Ofrece una nueva capa de emoción a los momentos íntimos con una oleada de placer. Calidad ID Glide con estímulo añadido. Contenido: 12 ml.,LUBRICANTES Y CREMAS,Activo,2,,,,,,
lc-aimani,GEL MULTIORGÁSMICO,LUBRICANTES Y CREMAS,200,200,"Sensibilidad despierta, respuesta inmediata y placer intensificado. Este gel orgásmico potencia cada estímulo con una textura sedosa que amplifica sensaciones y acelera la excitación.",Estimulación focalizada para sensaciones más intensa,"Gel diseñado para contribuir a encuentros sexuales placenteros y facilitar la obtención de orgasmos. Extractos naturales, sin irritación. Marca: Aimani. Contenido: 50 ml.",LUBRICANTES Y CREMAS,Activo,1,,,,,,
lc-4en1,LUBRICANTES 4 EN 1,LUBRICANTES Y CREMAS,200,200,"Calor envolvente, sabor divertido y deslizamiento sedoso. Tout Temps convierte cada caricia en juego, ideal para masajes, exploración y momentos intensos que despiertan los sentidos.",Estimulación térmica que amplifica la experiencia,"Lubricante base agua multiusos ideal para masajes, comestible y con propiedades termogénicas. Sabores disponibles de acuerdo a existencia. Contenido: 30 ml.",LUBRICANTES Y CREMAS,Activo,3,,,,,,
